Genus.species;Ed/Hd;Bbl/Bl;Mo/Bd;Jl/Hd;Eh/Bd;Bl/Bd;PFi/Bd;PFl/Bl;CFd/CPd
Acanthodoras.cataphractus;0.182379420322342;0.3614696545503;0.193440686807099;0.341908108108108;0.389506913278587;4.14343706374266;0.1922352255632;0.28692768068795;2.53259844667049
Acaronia.nassa;0.51282092018302;0;0.298312796208531;0.598044822911371;0.434812006319115;2.24883096366509;0.450240126382306;0.332971317377468;1.78610525757756
Acestrorhynchus.falcatus;0.439454724884929;0;0.384142157957969;1.15308735925333;0.46293538920137;4.61450188494096;0.137967836185369;0.169137242307983;4.03712153372248
Acestrorhynchus.microlepis;0.453049246942485;0;0.271097777922278;1.01781906229787;0.424412489003504;4.83715447139086;0.131003380131017;0.15251703950237;4.4935663551018
Acnodon.oligacanthus;0.438440770566323;0;0.182911478497624;0.370881292721569;0.286042991241669;1.91982460451955;0.14659446091033;0.226140743794807;3.58371587679345
Aequidens.paloemeuensis;0.378013941263856;0;0.264757672312594;0.298982973374472;0.50613156129465;2.43011068254234;0.380586533624015;0.300297172334075;1.43135550242701
Aequidens.tetramerus;0.316270806763598;0;0.267883551718225;0.325429418014294;0.431369878835138;2.26630741644205;0.361152862540014;0.338591207102026;2.05126349614033
Ageneiosus.inermis;0.301525663066558;0.0119107957425241;0.32673173061737;0.845871235273906;0.234330525689535;5.10610897123198;0.34438229712709;0.182982001003634;3.06303298513173
Ageneiosus.ucayalensis;0.394657197761767;NA;0.251759100739424;1.08801050429065;0.168393988601267;5.41355519072181;0.339226740241641;0.150665780828757;3.63298973712639
Anableps.anableps;0.528031977897182;0;0.241172655865728;0.297302316636201;0.508472936079442;6.43635387657778;0.31841438358384;0.199213766210619;1.6046205006519
Anableps.microlepis;0.448956861892861;0;0.154754688561929;0.397696403346735;0.515034624639518;6.75588251501626;0.262173729358388;0.161847432143275;2.47367224297547
Anablepsoides.gaucheri;0.486215647749244;0;0.446344311068106;0.313616612658746;0.399560540450891;4.8068355720824;0.349956018697205;0.185344774406189;1.7827013442573
Anablepsoides.holmiae;0.441893526614714;0;0.273172989736283;0.467179270589972;0.36457722171001;4.34215958099345;0.337858506236713;0.185630740255188;1.95807998598393
Anablepsoides.igneus;0.581752171529224;0;0.334759778397154;0.368043493724646;0.330330162411588;5.46376897491558;0.371272887552062;0.176354904728354;1.63185825930374
Anablepsoides.lungi;0.523327152356256;0;0.459733153769233;0.269466456127135;0.323475452404761;4.6883790039031;0.347137995548531;0.220072491594321;2.21961216933489
Anadoras.weddellii;0.296296296296296;0.172436750998668;0.2031144211239;0.256901234567901;0.322941513462841;3.9112546221551;0.130305713244102;0.28096138482024;1.98466410429941
Anchovia.surinamensis;0.511314338366836;0;0.298721585681322;1.27786442972588;0.303700631048862;4.23743752521694;0.148658740584487;0.143112664680337;2.25902795521766
Anchoviella.guianensis;0.515151515151515;0;0.36809828491997;0.679121212121212;0.375017886710685;5.2229195200229;0.0722725321449744;0.0982583170254403;3.1063829787234
Ancistrus.aff..hoplogenys;0.364028128528898;0.0311499717824807;0.021758222630134;0.0987364746945899;0.598990833601479;5.27367270797545;0.0397435897435897;0.320493718876532;2.99616103522646
Ancistrus.aff..temminckii;0.322083665441082;NA;0;0;0.576882506876018;4.42994141365591;0;0.281001339188834;1.81346265516516
Ancistrus.cf..leucostictus;0.350549891477829;NA;0;0;0.56254625692685;4.81011254479767;0.0190114068441065;0.321756491292968;2.37627737599123
Anostomus.brevior;0.517834959410935;0;0.317404267090413;0.341641578443559;0.250864719071618;3.97902587302309;0.149102933568549;0.124247676494392;2.36847896181294
Anostomus.ternetzi;0.612466843501326;0;0.232134566622621;0.318710467251581;0.16952073140245;4.79609656797972;0.11606728331131;0.10656537262976;3.13338333333333
Aphyocharacidium.melandetum;0.601269612011229;0;0.293991899958339;0.526483640641562;0.308185413095295;3.42002745545319;0.149341274014984;0.167468852157833;2.08572258891534
Apistogramma.gossei;0.463207462148522;0;0.281787600012476;0.326477649603461;0.421369004350546;2.9609982686744;0.345869654867978;0.232891868919957;1.73317526048624
Apteronotus.aff..albifrons;0.0893509987357775;0;0.111430024736628;0.532238617783397;0.368343848918758;5.68628974194273;0.449948438406558;0.0801644830783002;1.63874505025891
Apteronotus.albifrons;0.129759277393706;0;0.105958995080158;0.423252312954004;0.397387152290626;6.61548768168809;0.396662270610023;0.0957564785501697;1.65393518518519
Archolaemus.blax;0.3;0;0.159486806896918;0.687183333333333;0.410324112633127;8.44394924775389;0.301385763144371;0.0671888067273801;0
Argonectes.longiceps;0.533129903040313;0;0.156632105561169;0.274261798801003;0.282478922944104;4.3178828789371;0.102898150831233;0.143012338999436;4.59842857142857
Aspredinichthys.tibicen;0.249687890137328;0.0871720330709886;0;NA;0.552375;14.468875;0.34375;0.162903560228421;3.92233771327711
Astronotus.ocellatus;0.245207779097718;0;0.291135125396086;0.376038058906532;0.459114570073361;1.96053440705649;0.317201374010521;0.273731085654465;2.15783658852513
Astyanax.bimaculatus;0.484895195691481;0;0.303009142746377;0.286732274514457;0.284745990411235;2.42091285809966;0.0771409978854226;0.229166528597509;3.06005888388445
Astyanax.leopoldi;0.579475549195536;0;0.348876924634544;0.296699075665667;0.317062896170617;2.59649318181344;0.0835509816395995;0.18834046245259;3.5139651422881
Astyanax.validus;0.407677754651853;0;0.266951065861904;0.392032158530265;0.274696053333361;2.42589508252075;0.082360182516976;0.220511484410174;2.87844034064059
